ADM1_EN,ADM2_EN,kasus,rawatInap,meninggal,testing,tracing,treatment
SUMATERA BARAT,LIMA PULUH KOTA,26.54,2.48,2.81,19.86,4.14,33.17
SUMATERA BARAT,SOLOK SELATAN,25.67,5.9,0,19.35,0,36.27
SUMATERA BARAT,PASAMAN BARAT,25.43,11.14,2.56,37.57,3,59.25
SUMATERA BARAT,SIJUNJUNG,20.15,2.94,0.4,24.42,2.92,21.43
SUMATERA BARAT,DHARMASRAYA,19.94,7.79,0.75,37.42,1.67,71.43
SUMATERA BARAT,KOTA PARIAMAN,18.63,14.72,1.1,24.71,1.43,17.67
SUMATERA BARAT,PESISIR SELATAN,15.23,3.78,0,21.18,6.52,22.6
SUMATERA BARAT,PADANG PARIAMAN,5.93,5.08,0.24,4.44,2.5,21.52
SUMATERA SELATAN,KOTA PALEMBANG,26.14,21.78,1.57,10.99,4.96,25.35
SUMATERA SELATAN,KOTA PRABUMULIH,21.12,22,4.12,12.15,3.25,24.55
SUMATERA SELATAN,MUSI RAWAS,7.23,3.86,0.72,12.5,6.58,19.05
SUMATERA SELATAN,KOTA PAGAR ALAM,7.07,1.72,0,66.67,0,5.06
SUMATERA SELATAN,MUSI BANYUASIN,6.75,5.21,0.45,30.66,4.53,14.77
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,6.16,1.03,3.08,18.52,0,4
SUMATERA SELATAN,OGAN ILIR,5.7,0.91,1.37,13.79,1,17.39
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,4.84,1.46,0.81,54.55,0,18.1
SUMATERA SELATAN,BANYU ASIN,4.33,3.61,0.57,33.15,2,19.58
SUMATERA SELATAN,LAHAT,4.32,1.51,0.48,20.89,0,9.38
SUMATERA SELATAN,OGAN KOMERING ULU,4.24,4.84,1.59,9.09,2,25.75
SUMATERA SELATAN,MUSI RAWAS UTARA,3.05,4.21,0,14.29,15.5,41.43
SUMATERA SELATAN,EMPAT LAWANG,2.73,0.39,0,35.71,3.5,5.26
SUMATERA SELATAN,OGAN KOMERING ILIR,2.11,1.83,1.52,34.48,0,36.21
SUMATERA UTARA,KOTA MEDAN,112.95,64.64,1.25,25.14,2.41,51.24
SUMATERA UTARA,KOTA PEMATANG SIANTAR,101.03,37.24,4.63,15.53,5.87,42.62
SUMATERA UTARA,SERDANG BEDAGAI,33.26,9.25,0,36.34,3.67,41.61
SUMATERA UTARA,LABUHAN BATU UTARA,21.56,1.81,0,66.67,1.5,41.96
SUMATERA UTARA,DAIRI,21.36,3.65,1.75,8.51,9.67,20.86
SUMATERA UTARA,TAPANULI UTARA,21.22,3.92,0.33,12.36,0,15.58
SUMATERA UTARA,SIMALUNGUN,20.92,8.75,7.89,55.2,7.37,26.56
SUMATERA UTARA,ASAHAN,18.31,5.27,2.96,40.88,2.08,23.72
SUMATERA UTARA,KOTA SIBOLGA,18.26,27.88,0,13.56,3.5,18.65
SUMATERA UTARA,LANGKAT,18.12,4.16,1.23,37.93,6.35,18.35
SUMATERA UTARA,PAKPAK BHARAT,17.47,9.98,3.88,50,0,14.69
SUMATERA UTARA,LABUHAN BATU,16.43,2.26,1.93,0,0,13.02
SUMATERA UTARA,KOTA TANJUNG BALAI,14.97,2.14,4.44,0,0,48.21
SUMATERA UTARA,LABUHAN BATU SELATAN,14.82,3.6,0,76.92,0,25.21
SUMATERA UTARA,BATU BARA,14.09,0.7,0.94,32.71,4.88,11.11
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,7.38,0.99,1.74,23.68,0,4.31
SUMATERA UTARA,NIAS UTARA,7.15,1.23,0,0,1,14.29
SUMATERA UTARA,NIAS,6.91,5.33,0.69,0,0,12.86
SUMATERA UTARA,PADANG LAWAS,6.7,0.14,0,66.67,2.33,1.79
SUMATERA UTARA,NIAS BARAT,6.07,0,0,0,0,0
SUMATERA UTARA,TAPANULI TENGAH,5.8,0.9,0.5,35.14,10.29,8.71
SUMATERA UTARA,TAPANULI SELATAN,5.62,0.8,0,23.08,11.5,7.62
SUMATERA UTARA,NIAS SELATAN,1.84,0.13,0,0,0,2.38
SUMATERA UTARA,PADANG LAWAS UTARA,1.74,0.7,0,24.14,1.5,6.67
SUMATERA UTARA,MANDAILING NATAL,1.09,0.94,0,0,1,7.79
SUMATERA UTARA,SAMOSIR,38.61,3.83,1.58,21.28,0,16.19
